case_id,case_name,tau,n,method,mean,range
2,Case 2: LLQR (Uniform design),0.2,2000,screen-seq(1),2.6,2.3
2,Case 2: LLQR (Uniform design),0.2,5000,screen-seq(1),12.3,5.8
2,Case 2: LLQR (Uniform design),0.2,200,screen-seq(2),0.12,0.55
2,Case 2: LLQR (Uniform design),0.2,500,screen-seq(2),0.37,1.3
2,Case 2: LLQR (Uniform design),0.2,1000,screen-seq(2),0.88,2.4
2,Case 2: LLQR (Uniform design),0.2,2000,screen-seq(2),2.7,2.7
2,Case 2: LLQR (Uniform design),0.2,5000,screen-seq(2),12.0,5.6
2,Case 2: LLQR (Uniform design),0.2,200,screen-seq(1)(ft),0.0072,0.0093
2,Case 2: LLQR (Uniform design),0.2,500,screen-seq(1)(ft),0.026,0.099
2,Case 2: LLQR (Uniform design),0.2,1000,screen-seq(1)(ft),0.10,0.064
2,Case 2: LLQR (Uniform design),0.2,2000,screen-seq(1)(ft),0.48,0.14
2,Case 2: LLQR (Uniform design),0.2,5000,screen-seq(1)(ft),3.5,1.9
2,Case 2: LLQR (Uniform design),0.2,200,screen-seq(2)(ft),0.0066,0.015
2,Case 2: LLQR (Uniform design),0.2,500,screen-seq(2)(ft),0.026,0.026
2,Case 2: LLQR (Uniform design),0.2,1000,screen-seq(2)(ft),0.10,0.075
2,Case 2: LLQR (Uniform design),0.2,2000,screen-seq(2)(ft),0.46,0.14
2,Case 2: LLQR (Uniform design),0.2,5000,screen-seq(2)(ft),3.3,1.3
2,Case 2: LLQR (Uniform design),0.5,200,llqr,0.24,0.33
2,Case 2: LLQR (Uniform design),0.5,500,llqr,0.63,0.12
2,Case 2: LLQR (Uniform design),0.5,1000,llqr,1.8,0.69
2,Case 2: LLQR (Uniform design),0.5,2000,llqr,7.3,3.6
2,Case 2: LLQR (Uniform design),0.5,5000,llqr,57.9,35.8
2,Case 2: LLQR (Uniform design),0.5,200,seq,0.042,0.15
2,Case 2: LLQR (Uniform design),0.5,500,seq,0.12,0.38
2,Case 2: LLQR (Uniform design),0.5,1000,seq,0.33,1.4
2,Case 2: LLQR (Uniform design),0.5,2000,seq,1.1,2.6
2,Case 2: LLQR (Uniform design),0.5,5000,seq,5.8,13.6
2,Case 2: LLQR (Uniform design),0.5,200,seq(ft),0.0054,0.018
2,Case 2: LLQR (Uniform design),0.5,500,seq(ft),0.017,0.017
2,Case 2: LLQR (Uniform design),0.5,1000,seq(ft),0.061,0.081
2,Case 2: LLQR (Uniform design),0.5,2000,seq(ft),0.64,0.62
2,Case 2: LLQR (Uniform design),0.5,5000,seq(ft),2.4,2.2
2,Case 2: LLQR (Uniform design),0.5,200,screen-seq(1),0.14,0.61
2,Case 2: LLQR (Uniform design),0.5,500,screen-seq(1),0.39,2.2
2,Case 2: LLQR (Uniform design),0.5,1000,screen-seq(1),1.1,3.7
2,Case 2: LLQR (Uniform design),0.5,2000,screen-seq(1),2.9,3.0
2,Case 2: LLQR (Uniform design),0.5,5000,screen-seq(1),13.3,8.3
2,Case 2: LLQR (Uniform design),0.5,200,screen-seq(2),0.14,0.70
2,Case 2: LLQR (Uniform design),0.5,500,screen-seq(2),0.41,2.6
2,Case 2: LLQR (Uniform design),0.5,1000,screen-seq(2),1.0,3.9
2,Case 2: LLQR (Uniform design),0.5,2000,screen-seq(2),2.9,3.2
2,Case 2: LLQR (Uniform design),0.5,5000,screen-seq(2),12.7,8.6
2,Case 2: LLQR (Uniform design),0.5,200,screen-seq(1)(ft),0.0084,0.016
2,Case 2: LLQR (Uniform design),0.5,500,screen-seq(1)(ft),0.028,0.038
2,Case 2: LLQR (Uniform design),0.5,1000,screen-seq(1)(ft),0.12,0.096
2,Case 2: LLQR (Uniform design),0.5,2000,screen-seq(1)(ft),0.53,0.17
2,Case 2: LLQR (Uniform design),0.5,5000,screen-seq(1)(ft),3.9,1.6
2,Case 2: LLQR (Uniform design),0.5,200,screen-seq(2)(ft),0.0068,0.015
2,Case 2: LLQR (Uniform design),0.5,500,screen-seq(2)(ft),0.028,0.044
2,Case 2: LLQR (Uniform design),0.5,1000,screen-seq(2)(ft),0.12,0.10
2,Case 2: LLQR (Uniform design),0.5,2000,screen-seq(2)(ft),0.53,0.17
2,Case 2: LLQR (Uniform design),0.5,5000,screen-seq(2)(ft),3.7,1.4
2,Case 2: LLQR (Uniform design),0.8,200,llqr,0.23,0.074
2,Case 2: LLQR (Uniform design),0.8,500,llqr,0.63,0.53
2,Case 2: LLQR (Uniform design),0.8,1000,llqr,1.9,0.47
2,Case 2: LLQR (Uniform design),0.8,2000,llqr,7.6,3.8
2,Case 2: LLQR (Uniform design),0.8,5000,llqr,66.6,110.8
2,Case 2: LLQR (Uniform design),0.8,200,seq,0.042,0.086
2,Case 2: LLQR (Uniform design),0.8,500,seq,0.12,0.34
2,Case 2: LLQR (Uniform design),0.8,1000,seq,0.37,0.94
2,Case 2: LLQR (Uniform design),0.8,2000,seq,1.2,2.9
2,Case 2: LLQR (Uniform design),0.8,5000,seq,6.5,9.6
2,Case 2: LLQR (Uniform design),0.8,200,seq(ft),0.0052,0.0046
2,Case 2: LLQR (Uniform design),0.8,500,seq(ft),0.017,0.088
2,Case 2: LLQR (Uniform design),0.8,1000,seq(ft),0.063,0.063
2,Case 2: LLQR (Uniform design),0.8,2000,seq(ft),0.66,0.46
2,Case 2: LLQR (Uniform design),0.8,5000,seq(ft),2.4,2.3
2,Case 2: LLQR (Uniform design),0.8,200,screen-seq(1),0.13,0.54
2,Case 2: LLQR (Uniform design),0.8,500,screen-seq(1),0.40,2.1
2,Case 2: LLQR (Uniform design),0.8,1000,screen-seq(1),1.1,3.0
2,Case 2: LLQR (Uniform design),0.8,2000,screen-seq(1),2.9,3.0
2,Case 2: LLQR (Uniform design),0.8,5000,screen-seq(1),14.1,12.7
2,Case 2: LLQR (Uniform design),0.8,200,screen-seq(2),0.14,0.59
2,Case 2: LLQR (Uniform design),0.8,500,screen-seq(2),0.42,2.4
2,Case 2: LLQR (Uniform design),0.8,1000,screen-seq(2),1.1,3.0
2,Case 2: LLQR (Uniform design),0.8,2000,screen-seq(2),2.9,3.2
2,Case 2: LLQR (Uniform design),0.8,5000,screen-seq(2),13.4,13.9
2,Case 2: LLQR (Uniform design),0.8,200,screen-seq(1)(ft),0.0085,0.0096
2,Case 2: LLQR (Uniform design),0.8,500,screen-seq(1)(ft),0.027,0.039
2,Case 2: LLQR (Uniform design),0.8,1000,screen-seq(1)(ft),0.12,0.070
2,Case 2: LLQR (Uniform design),0.8,2000,screen-seq(1)(ft),0.52,0.14
2,Case 2: LLQR (Uniform design),0.8,5000,screen-seq(1)(ft),3.9,3.4
2,Case 2: LLQR (Uniform design),0.8,200,screen-seq(2)(ft),0.0066,0.018
2,Case 2: LLQR (Uniform design),0.8,500,screen-seq(2)(ft),0.027,0.044
2,Case 2: LLQR (Uniform design),0.8,1000,screen-seq(2)(ft),0.12,0.085
