"case","n","p","replication","method","total_iterations","mean_iterations","median_iterations","max_iterations","elapsed"
1,500,4,20,"cold",175957,351.914,341,713,21.562
1,500,4,20,"seq_mst",52858,105.716,78.5,608,6.34700000000004
1,500,4,21,"cold",172698,345.396,332,662,20.011
1,500,4,21,"seq_mst",54068,108.136,81,522,7.75400000000002
1,500,4,22,"cold",181974,363.948,357,798,24.997
1,500,4,22,"seq_mst",55126,110.252,76,619,8.70100000000002
1,500,4,23,"cold",171684,343.368,340,674,25.357
1,500,4,23,"seq_mst",51314,102.628,75,516,9.46499999999997
1,500,4,24,"cold",178730,357.46,355,701,29.182
1,500,4,24,"seq_mst",53798,107.596,83,575,8.58000000000004
1,500,4,25,"cold",173507,347.014,338.5,587,26.924
1,500,4,25,"seq_mst",54854,109.708,80,467,8.23700000000002
1,500,4,26,"cold",181461,362.922,356.5,615,26.73
1,500,4,26,"seq_mst",53569,107.138,77.5,603,304.057
1,500,4,27,"cold",177969,355.938,344.5,717,15.09
1,500,4,27,"seq_mst",54011,108.022,78,657,4.32100000000003
1,500,4,28,"cold",174128,348.256,344,622,12.526
1,500,4,28,"seq_mst",52428,104.856,78,528,4.20699999999999
1,500,4,29,"cold",185281,370.562,367.5,666,311.896
1,500,4,29,"seq_mst",54682,109.364,74,538,4.06100000000004
1,500,4,30,"cold",171835,343.67,349,746,12.14
1,500,4,30,"seq_mst",51705,103.41,75,543,3.61199999999997
1,500,4,31,"cold",178793,357.586,352,627,12.269
1,500,4,31,"seq_mst",54292,108.584,80,568,3.83800000000008
1,500,4,32,"cold",176821,353.642,347,690,12.1180000000001
1,500,4,32,"seq_mst",52091,104.182,78,501,3.68100000000004
1,500,4,33,"cold",159201,318.402,311,651,11.303
1,500,4,33,"seq_mst",53118,106.236,76,558,3.60599999999999
1,500,4,34,"cold",180857,361.714,365,666,12.481
1,500,4,34,"seq_mst",52455,104.91,71.5,623,3.91500000000008
1,500,4,35,"cold",167299,334.598,332,599,11.355
1,500,4,35,"seq_mst",53037,106.074,72,682,3.75300000000004
1,500,4,36,"cold",166785,333.57,330,638,11.511
1,500,4,36,"seq_mst",52089,104.178,72,599,3.54399999999998
1,500,4,37,"cold",165584,331.168,324.5,664,11.881
1,500,4,37,"seq_mst",56013,112.026,82,550,4.18399999999997
1,500,4,38,"cold",182020,364.04,368,628,12.485
1,500,4,38,"seq_mst",51917,103.834,75,597,3.59900000000005
1,500,4,39,"cold",175845,351.69,351.5,725,12.2140000000001
1,500,4,39,"seq_mst",53569,107.138,80.5,697,3.91100000000006
1,500,4,40,"cold",171381,342.762,333.5,623,12.2040000000001
1,500,4,40,"seq_mst",51804,103.608,77.5,546,303.922
1,500,4,41,"cold",166759,333.518,324,907,13.664
1,500,4,41,"seq_mst",53068,106.136,85,486,3.91300000000001
1,500,4,42,"cold",179829,359.658,354,726,12.6689999999999
1,500,4,42,"seq_mst",51212,102.424,76.5,571,3.68100000000004
1,500,4,43,"cold",168773,337.546,333,654,451.906
1,500,4,43,"seq_mst",55443,110.886,83,507,4.67799999999988
1,500,4,44,"cold",182874,365.748,359.5,781,14.6110000000001
1,500,4,44,"seq_mst",56891,113.782,79,567,4.2829999999999
1,500,4,45,"cold",186016,372.032,366,659,13.671
1,500,4,45,"seq_mst",53334,106.668,81,541,4.05099999999993
1,500,4,46,"cold",174413,348.826,340.5,664,12.335
1,500,4,46,"seq_mst",54606,109.212,76.5,484,3.73399999999992
1,500,4,47,"cold",173061,346.122,346.5,810,1043.181
1,500,4,47,"seq_mst",52769,105.538,75,611,5.75900000000001
1,500,4,48,"cold",175666,351.332,343,751,15.8879999999999
1,500,4,48,"seq_mst",51781,103.562,78,544,4.5619999999999
1,500,4,49,"cold",159355,318.71,309,635,41.5050000000001
1,500,4,49,"seq_mst",52493,104.986,73.5,505,3.74600000000009
1,500,4,50,"cold",178813,357.626,353.5,706,12.6700000000001
1,500,4,50,"seq_mst",56972,113.944,88,523,4.20600000000013
1,500,4,51,"cold",190158,380.316,384,680,13.4290000000001
1,500,4,51,"seq_mst",55662,111.324,83.5,602,3.77300000000014
1,500,4,52,"cold",178817,357.634,349,652,68.1379999999999
1,500,4,52,"seq_mst",52993,105.986,80,467,3.85699999999997
1,500,4,53,"cold",171549,343.098,338,617,12.502
1,500,4,53,"seq_mst",53673,107.346,84,587,3.82000000000016
1,500,4,54,"cold",176785,353.57,347,647,13.1109999999999
1,500,4,54,"seq_mst",53935,107.87,82.5,555,3.78499999999985
1,500,4,55,"cold",177386,354.772,354,632,934.941
1,500,4,55,"seq_mst",52112,104.224,79,487,4.26099999999997
1,500,4,56,"cold",173090,346.18,352.5,602,16.366
1,500,4,56,"seq_mst",54309,108.618,76,552,5.69699999999966
1,500,4,57,"cold",180367,360.734,354,639,519.644
1,500,4,57,"seq_mst",54525,109.05,83.5,533,4.82999999999993
1,500,4,58,"cold",175690,351.38,350.5,671,14.6310000000003
1,500,4,58,"seq_mst",57379,114.758,84,549,7.55200000000059
1,500,4,59,"cold",175497,350.994,348,682,12.5010000000002
1,500,4,59,"seq_mst",50672,101.344,75.5,497,3.53700000000026
1,500,4,60,"cold",174000,348,338.5,771,12.0639999999994
1,500,4,60,"seq_mst",56721,113.442,77.5,614,4.29899999999998
1,500,4,61,"cold",175278,350.556,353.5,605,12.549
1,500,4,61,"seq_mst",53403,106.806,79,619,3.7489999999998
1,500,4,62,"cold",176460,352.92,346,636,12.1310000000003
1,500,4,62,"seq_mst",55230,110.46,87.5,557,4.0619999999999
1,500,4,63,"cold",185787,371.574,360,747,13.0210000000006
1,500,4,63,"seq_mst",53083,106.166,75,562,3.72599999999966
1,500,4,64,"cold",179146,358.292,358,713,12.4569999999994
1,500,4,64,"seq_mst",55705,111.41,85,654,4.02200000000084
1,500,4,65,"cold",184666,369.332,361,664,12.7950000000001
1,500,4,65,"seq_mst",57096,114.192,90,577,3.88299999999981
1,500,4,66,"cold",172432,344.864,346.5,626,11.826
1,500,4,66,"seq_mst",55109,110.218,83,561,3.97200000000066
1,500,4,67,"cold",186288,372.576,371.5,762,12.6090000000004
1,500,4,67,"seq_mst",50791,101.582,76,504,3.5600000000004
1,500,4,68,"cold",161497,322.994,311.5,665,11.2200000000003
1,500,4,68,"seq_mst",52988,105.976,82,560,3.67900000000009
1,500,4,69,"cold",168437,336.874,325,625,11.9549999999999
1,500,4,69,"seq_mst",56130,112.26,87,535,4.14999999999964
1,500,4,70,"cold",172857,345.714,344,667,11.7400000000007
1,500,4,70,"seq_mst",54371,108.742,80,575,3.7470000000003
1,500,4,71,"cold",177746,355.492,342.5,727,12.1770000000006
1,500,4,71,"seq_mst",54345,108.69,79,766,3.90200000000004
1,500,4,72,"cold",190697,381.394,392.5,647,13.607
1,500,4,72,"seq_mst",52466,104.932,76,458,3.71100000000024
1,500,4,73,"cold",180007,360.014,356.5,673,12.4009999999998
1,500,4,73,"seq_mst",52111,104.222,78.5,539,3.875
1,500,4,74,"cold",174344,348.688,339,719,12.0159999999996
1,500,4,74,"seq_mst",52819,105.638,77,523,3.57499999999982
1,500,4,75,"cold",182029,364.058,366.5,622,12.6310000000003
1,500,4,75,"seq_mst",51605,103.21,78,590,3.74399999999969
1,500,4,76,"cold",185663,371.326,367,696,12.7539999999999
1,500,4,76,"seq_mst",53963,107.926,84,566,3.86099999999988
1,500,4,77,"cold",180499,360.998,361.5,660,12.558
1,500,4,77,"seq_mst",53637,107.274,80.5,605,3.9369999999999
1,500,4,78,"cold",179764,359.528,357,780,12.3789999999999
1,500,4,78,"seq_mst",53765,107.53,75,639,3.69800000000032
1,500,4,79,"cold",178526,357.052,352,662,12.5999999999995
1,500,4,79,"seq_mst",54209,108.418,78,577,3.97500000000036
1,500,4,80,"cold",176354,352.708,344.5,735,12.1129999999994
1,500,4,80,"seq_mst",55488,110.976,86,498,3.94499999999971
1,500,4,81,"cold",177503,355.006,352,659,12.2930000000006
1,500,4,81,"seq_mst",58263,116.526,89,578,4.19900000000052
1,500,4,82,"cold",178071,356.142,350,734,12.1689999999999
1,500,4,82,"seq_mst",53833,107.666,82,464,3.72300000000087
1,500,4,83,"cold",180319,360.638,365,628,12.3040000000001
1,500,4,83,"seq_mst",53571,107.142,74,599,3.93099999999959
1,500,4,84,"cold",181467,362.934,354,670,12.7399999999998
1,500,4,84,"seq_mst",53507,107.014,80.5,518,3.74600000000009
1,500,4,85,"cold",172564,345.128,342.5,670,11.741
1,500,4,85,"seq_mst",51052,102.104,83,494,3.6880000000001
1,500,4,86,"cold",184601,369.202,372,736,12.7209999999995
1,500,4,86,"seq_mst",57660,115.32,89.5,553,4.0590000000002
1,500,4,87,"cold",179532,359.064,356,619,12.2610000000004
1,500,4,87,"seq_mst",51691,103.382,75,495,3.90800000000036
1,500,4,88,"cold",167904,335.808,325.5,777,11.8139999999994
1,500,4,88,"seq_mst",52480,104.96,81,607,3.72199999999975
1,500,4,89,"cold",173888,347.776,342,656,12.2639999999992
1,500,4,89,"seq_mst",55129,110.258,83,591,3.79899999999998
1,500,4,90,"cold",176499,352.998,353.5,647,11.9639999999999
1,500,4,90,"seq_mst",52672,105.344,77,525,3.92600000000039
1,500,4,91,"cold",181341,362.682,355,726,12.2789999999995
1,500,4,91,"seq_mst",53323,106.646,74,599,3.64400000000023
1,500,4,92,"cold",173246,346.492,337,606,12.1769999999997
1,500,4,92,"seq_mst",53561,107.122,79,461,3.95499999999993
1,500,4,93,"cold",177972,355.944,351,612,12.3329999999996
1,500,4,93,"seq_mst",52439,104.878,80.5,527,3.63100000000031
1,500,4,94,"cold",176277,352.554,346,634,12.134
1,500,4,94,"seq_mst",51019,102.038,71,572,3.69799999999941
1,500,4,95,"cold",168787,337.574,329,625,11.3789999999999
1,500,4,95,"seq_mst",53525,107.05,79,559,3.84099999999944
1,500,4,96,"cold",171320,342.64,339,581,12.0739999999996
1,500,4,96,"seq_mst",55913,111.826,79,597,4.01900000000023
1,500,4,97,"cold",191490,382.98,382.5,698,13.1760000000004
1,500,4,97,"seq_mst",50228,100.456,75.5,570,3.68700000000081
1,500,4,98,"cold",181841,363.682,356,766,12.6679999999997
1,500,4,98,"seq_mst",55118,110.236,79,734,3.91700000000037
1,500,4,99,"cold",174056,348.112,338.5,670,11.7849999999999
1,500,4,99,"seq_mst",54248,108.496,80,536,3.96700000000055
