"case","n","replication","total_iterations_direct","total_iterations_mst","reduction"
1,500,13,182922,53915,0.705256885448442
1,500,14,180449,56092,0.689153167931105
1,500,15,174072,51806,0.702387517808723
1,500,16,183467,53312,0.709419132596053
1,500,17,174094,54513,0.686876055464289
1,500,18,163025,53129,0.674105198589174
1,500,19,178185,55724,0.687268849790948
1,500,2,184036,49964,0.728509639418375
1,500,20,175957,52858,0.699597060645499
1,500,21,172698,54068,0.686921678305481
1,500,22,181974,55126,0.697066613911878
1,500,23,171684,51314,0.701113673959134
1,500,24,178730,53798,0.698998489341465
1,500,25,173507,54854,0.683851371990755
1,500,26,181461,53569,0.704790561057197
1,500,27,177969,54011,0.69651456152476
1,500,28,174128,52428,0.698911145823762
1,500,29,185281,54682,0.704869900313578
1,500,3,176205,51468,0.707908402145229
1,500,30,171835,51705,0.699100881659732
1,500,31,178793,54292,0.69634157936832
1,500,32,176821,52091,0.705402638826836
1,500,33,159201,53118,0.66634631692012
1,500,34,180857,52455,0.709964225880115
1,500,35,167299,53037,0.682980770954997
1,500,36,166785,52089,0.687687741703391
1,500,37,165584,56013,0.661724562759687
1,500,38,182020,51917,0.714773101856939
1,500,39,175845,53569,0.695362393016577
1,500,4,182306,54455,0.701298915011025
1,500,40,171381,51804,0.697726118998022
1,500,41,166759,53068,0.6817683003616
1,500,42,179829,51212,0.715218346317891
1,500,43,168773,55443,0.67149366308592
1,500,44,182874,56891,0.68890602272603
1,500,45,186016,53334,0.713282728367452
1,500,46,174413,54606,0.686915539552671
1,500,47,173061,52769,0.695084392208528
1,500,48,175666,51781,0.70523038038095
1,500,49,159355,52493,0.670590819240061
1,500,5,176521,53599,0.696359073424692
1,500,50,178813,56972,0.681387818559053
1,500,51,190158,55662,0.707285520461932
1,500,52,178817,52993,0.703646744996281
1,500,53,171549,53673,0.687127293076614
1,500,54,176785,53935,0.694911898633934
1,500,55,177386,52112,0.706222588028367
1,500,56,173090,54309,0.686238373100699
1,500,57,180367,54525,0.697699690076344
1,500,58,175690,57379,0.673407706756218
1,500,59,175497,50672,0.711265719641931
1,500,6,175141,54806,0.68707498529756
1,500,60,174000,56721,0.67401724137931
1,500,61,175278,53403,0.695323999589224
1,500,62,176460,55230,0.68701122067324
1,500,63,185787,53083,0.714280331777789
1,500,64,179146,55705,0.689052504661003
1,500,65,184666,57096,0.690814768284362
1,500,66,172432,55109,0.680401549596363
1,500,67,186288,50791,0.727352271751267
1,500,68,161497,52988,0.671894833959764
1,500,69,168437,56130,0.666759678692924
1,500,7,170565,53607,0.685709260399261
1,500,70,172857,54371,0.685456764840302
1,500,71,177746,54345,0.694254723031742
1,500,72,190697,52466,0.72487244162205
1,500,73,180007,52111,0.710505702556012
1,500,74,174344,52819,0.697041481209563
1,500,75,182029,51605,0.716501216839075
1,500,76,185663,53963,0.709349735811659
1,500,77,180499,53637,0.702840458949911
1,500,78,179764,53765,0.700913419817094
1,500,79,178526,54209,0.696352352038359
1,500,8,171340,56168,0.672183961713552
1,500,80,176354,55488,0.685360127924515
1,500,81,177503,58263,0.671763294141507
1,500,82,178071,53833,0.697688000853592
1,500,83,180319,53571,0.702909843111375
1,500,84,181467,53507,0.705141981737726
1,500,85,172564,51052,0.704156139171554
1,500,86,184601,57660,0.687650662780808
1,500,87,179532,51691,0.712079183655282
1,500,88,167904,52480,0.687440442157423
1,500,89,173888,55129,0.682962596613912
1,500,9,158886,51561,0.675484309504928
1,500,90,176499,52672,0.70157338001915
1,500,91,181341,53323,0.705951770421471
1,500,92,173246,53561,0.690838460916847
