"case","n","p","replication","seed","h_summary","mst_max_abs_diff","mst_mean_edge_weight","mst_max_edge_weight"
1,500,4,6,20860451,"0.6238,0.6301,0.6278,0.6096",2.54019028034236e-13,0.949016373652242,3.04176689480393
1,500,4,7,20860452,"0.5948,0.6206,0.6283,0.6709",6.75015598972095e-14,0.927026477581975,3.27858961541823
1,500,4,8,20860453,"0.6071,0.6106,0.6199,0.6563",1.55875312657372e-13,0.959733602715076,2.64807174957888
1,500,4,9,20860454,"0.6382,0.6025,0.6383,0.6352",1.90070181815827e-13,0.960558732495872,2.59328938098092
1,500,4,10,20860455,"0.673,0.609,0.6411,0.6386",8.26005930321116e-14,0.964642646821652,2.70549004588614
1,500,4,11,20860456,"0.6366,0.5838,0.6232,0.5939",1.50102152929321e-13,0.953570262064836,4.02366599145479
1,500,4,12,20860457,"0.5937,0.6452,0.6228,0.6695",8.39328606616618e-14,0.95438952790549,2.92084948769658
1,500,4,13,20860458,"0.6447,0.6345,0.6422,0.5999",7.46069872548105e-14,0.944872095439382,2.38240816743806
1,500,4,14,20860459,"0.6413,0.6216,0.6209,0.6531",1.90958360235527e-13,0.955415317494867,3.89176054972834
1,500,4,15,20860460,"0.6556,0.6209,0.6395,0.6204",8.65973959207622e-14,0.959006346827008,2.79862931709839
1,500,4,16,20860461,"0.6459,0.5929,0.6759,0.6131",2.00950367457153e-13,0.941238988160354,2.77010628271758
1,500,4,17,20860462,"0.6274,0.6449,0.6198,0.6278",1.78523862359725e-13,0.958221541790086,3.46370252822313
1,500,4,18,20860463,"0.6295,0.5905,0.609,0.636",1.0946799022804e-13,0.943516963678209,2.99511485530398
1,500,4,19,20860464,"0.653,0.6403,0.6457,0.6339",1.20348175869367e-13,0.960372823020922,2.86381436599908
1,500,4,20,20860465,"0.6491,0.6314,0.6184,0.6742",1.50102152929321e-13,0.948275673119328,2.9293669435211
1,500,4,21,20860466,"0.6578,0.6193,0.6236,0.6433",1.02140518265514e-13,0.948554032558856,2.66344182009348
1,500,4,22,20860467,"0.6139,0.6582,0.6416,0.6277",3.24629212400396e-13,0.970294554733696,2.64007677840644
1,500,4,23,20860468,"0.6292,0.6435,0.6125,0.6376",1.3988810110277e-13,0.930576761731163,2.74692498230317
1,500,4,24,20860469,"0.6053,0.6285,0.6255,0.6538",2.34701147405758e-13,0.948790807004312,2.87357672486209
1,500,4,25,20860470,"0.6594,0.5979,0.6185,0.6234",1.27897692436818e-13,0.959640878991789,2.71925753538628
1,500,4,26,20860471,"0.6421,0.6388,0.6149,0.6294",2.54907206453936e-13,0.957783213168933,3.6915557188412
1,500,4,27,20860472,"0.6538,0.6427,0.6346,0.6355",3.63709062867201e-13,0.968587590659779,2.93519783582416
1,500,4,28,20860473,"0.6289,0.5972,0.6497,0.6559",1.62092561595273e-13,0.945815260672133,2.8718166134436
1,500,4,29,20860474,"0.6686,0.6187,0.6574,0.6242",2.02504679691629e-13,0.961551218033555,2.90882550636045
1,500,4,30,20860475,"0.616,0.6305,0.6417,0.6212",2.28261853862932e-13,0.955473272250761,2.66899868482565
1,500,4,31,20860476,"0.6418,0.5962,0.6254,0.6548",1.83852932877926e-13,0.966739359898766,3.3651889414511
1,500,4,32,20860477,"0.5876,0.6177,0.5957,0.6147",2.95763413760142e-13,0.972337480954309,2.87167822447336
1,500,4,33,20860478,"0.6437,0.5981,0.6422,0.6492",2.59348098552437e-13,0.95628732388583,3.40622662204755
1,500,4,34,20860479,"0.5965,0.6146,0.6725,0.6132",1.36335387423969e-13,0.950272405307649,2.61996670375356
1,500,4,35,20860480,"0.6352,0.619,0.6141,0.6187",1.53654866608122e-13,0.947100192178223,3.31253188631591
1,500,4,36,20860481,"0.6318,0.6298,0.626,0.6159",2.39808173319034e-13,0.967944377294101,2.72029793176527
1,500,4,37,20860482,"0.64,0.6387,0.6303,0.6528",2.39808173319034e-13,0.961578628446101,3.2251267036601
1,500,4,38,20860483,"0.6512,0.6329,0.6378,0.62",3.33955085807247e-13,0.946006211546734,2.84626091195167
1,500,4,39,20860484,"0.6153,0.6446,0.6448,0.6286",1.66977542903624e-13,0.943589384154175,2.65029290133875
1,500,4,40,20860485,"0.6251,0.6346,0.629,0.6086",1.30562227695918e-13,0.959895248485133,3.07236247553604
1,500,4,41,20860486,"0.6294,0.6386,0.6369,0.6601",8.65973959207622e-14,0.959730746787449,2.82816854744211
1,500,4,42,20860487,"0.6453,0.6083,0.6182,0.6325",1.47659662275146e-13,0.942585368928715,3.49002621322181
1,500,4,43,20860488,"0.632,0.6249,0.6238,0.6152",3.76809694557778e-13,0.966507189260914,2.71698595638364
1,500,4,44,20860489,"0.6134,0.6185,0.6614,0.5999",2.56683563293336e-13,0.967048720417508,3.08604126780385
1,500,4,45,20860490,"0.6292,0.6674,0.6172,0.6336",1.51767487466259e-13,0.947475756628844,3.19325219240473
1,500,4,46,20860491,"0.5889,0.6043,0.5928,0.6415",1.75859327100625e-13,0.953298420324855,2.97109054039425
1,500,4,47,20860492,"0.6474,0.5966,0.6583,0.652",1.04982689208555e-12,0.937351381523143,3.08023947261397
1,500,4,48,20860493,"0.6261,0.645,0.6191,0.6431",2.35367281220533e-13,0.958864999018135,2.52163419389373
1,500,4,49,20860494,"0.6051,0.6466,0.6287,0.6107",1.60760293965723e-13,0.950016786662261,2.31716075935551
1,500,4,50,20860495,"0.6371,0.6378,0.6547,0.6222",1.01252339845814e-13,0.946495952621844,3.17552350741409
1,500,4,51,20860496,"0.673,0.6496,0.6654,0.657",1.86073378927176e-13,0.964685465585788,2.61036248163019
1,500,4,52,20860497,"0.6049,0.6269,0.6092,0.6151",2.89546164822241e-13,0.965355568427918,2.87910022124232
1,500,4,53,20860498,"0.5813,0.6072,0.6114,0.6538",1.27453603226968e-13,0.961478864221954,3.0552243308617
