case,n,p,replication,h_summary,input_max_abs_diff,mst_max_abs_diff,mst_mean_edge_weight,mst_max_edge_weight,input_mean_edge_weight,input_max_edge_weight
1,800,4,3,"0.6053,0.6058,0.6218,0.6076",2.41051623106614e-12,1.4921397450962104e-13,0.9058424377270607,2.9586182179508365,4.504365966896583,10.330806432425284
1,800,4,4,"0.5934,0.569,0.6067,0.5967",4.392930463836819e-12,5.304645611658998e-13,0.9103194662040708,3.3951373711187065,4.513014821643962,10.662842431993893
1,800,4,5,"0.6013,0.5937,0.6062,0.5708",8.979483823168266e-13,2.41140440948584e-13,0.9116839839707755,3.728311504614611,4.522849568946243,9.78533396316169
1,800,4,6,"0.6219,0.5715,0.597,0.6115",2.2799540033702215e-12,1.865174681370263e-13,0.8964100371558986,2.716117121812274,4.493242466492413,9.965611083706815
1,800,4,7,"0.6011,0.5947,0.6043,0.6073",2.9256597144922125e-12,6.230571614196379e-13,0.908016587974843,3.8122695422857635,4.4402606040853145,10.649494458962549
1,800,4,8,"0.5918,0.5985,0.566,0.6073",1.3633538742396922e-12,3.0686564400639327e-13,0.913058413427626,4.000183242530775,4.521633605163159,9.923392991001515
1,800,4,9,"0.5897,0.6245,0.5834,0.6074",2.637889906509372e-12,3.1818991885756986e-13,0.9172279492206777,3.3051205527769536,4.572789174360583,10.649391557736964
1,800,4,10,"0.6075,0.6199,0.6157,0.5649",2.9878322038712213e-12,1.8207657603852567e-13,0.9026502533271303,2.950973234907643,4.53925813581075,9.795662921171523
2,300,4,1,"0.6679,0.61,0.653,0.6303",1.786570891226802e-12,1.2523315717771766e-13,0.9156464629035754,3.349448964374216,3.9344433703168216,10.31614180341112
2,300,4,2,"0.6758,0.6797,0.6713,0.6815",1.929567616798522e-12,1.425526363618701e-13,0.9018794586141441,2.5410289253615286,3.8752643893457193,9.789987208158223
2,300,4,3,"0.7196,0.6686,0.6533,0.642",3.3235636465178686e-12,2.3803181647963356e-13,0.8984061791390584,2.5089695934554004,3.82525479094998,9.783346482529069
2,300,4,4,"0.6494,0.645,0.6454,0.7336",9.521272659185342e-13,6.039613253960852e-13,0.9173403683421159,3.006242505149279,3.8416461644290867,8.800830863986487
2,300,4,5,"0.6843,0.6657,0.6756,0.6676",1.2461143228392757e-12,4.11226608321158e-13,0.9204457862640767,2.5547765994057374,3.8240030418913804,8.527497262196771
