"model","case","paper_case","tau","n","num_rep","seed_base","method","n_present","n_solver_ok","n_accepted","n_nonfinite","ierr_nonzero","failed_eval_nonzero","h_mismatch_count","fallback_count","retained_decomposition_failures","repair_total","repaired_points_total","internal_recovery_total","certificate_hits","residual_rows_checked","threshold_expansion_total","threshold_expansion_replications","first_retained_size_mean_of_max","first_retained_size_max","time_mean_sec","time_median_sec","time_min_sec","time_max_sec","max_average_relative_discrepancy","solver_stable","path_accepted","timing_order_balanced","discrepancy_valid","retained_decomposition_ok"
"llqr",1,1,0.8,10000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,35159,16998,1475,3902740,11217026802,0,0,810.908,870,4.63369,4.51550000000001,3.909,6.048,3.70907552102113e-16,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.2,1000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,1.65741,1.649,1.524,1.901,0,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.2,1000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.00916400000000001,0.00900000000000001,0.00800000000000001,0.023,3.33074275089921e-14,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.2,1000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,5918,5073,2,450394,24451780,0,0,16.13,26,0.008712,0.0089999999999999,0.00699999999999967,0.025,2.70708909668872e-15,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.2,2000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,2.378096,2.3555,2.25,2.645,0,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.2,2000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.035252,0.0349999999999997,0.0309999999999997,0.059,2.73240387504255e-14,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.2,2000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,3194,2968,0,919577,67094345,0,0,21.64,30,0.026396,0.026,0.024,0.048,3.47461823240153e-14,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.2,5000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,7.28456,7.2515,6.917,7.975,0,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.2,5000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.217736,0.214,0.192,0.337,1.09192389276596e-13,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.2,5000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,935,912,0,2351877,255063928,0,0,32.364,43,0.140922,0.139999999999999,0.135,0.153,1.89015378953476e-15,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.2,10000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,22.780426,22.74,21.924,23.753,0,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.2,10000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.886726,0.879,0.780000000000001,1.199,9.03780210723074e-14,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.2,10000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,242,242,0,4767703,700341416,0,0,43.764,59,0.576602,0.575,0.559999999999999,0.612,7.14829027362175e-16,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.5,1000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,1.708174,1.7135,1.557,2.032,0,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.5,1000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.01123,0.0110000000000001,0.0089999999999999,0.028,1.00820073051595e-14,TRUE,TRUE,TRUE,TRUE,TRUE
